*EVALUATION : TERRAR01SG                                                              DSSAT Cropping System Model Ver. 4.8.0.027   -develop    JUN 30, 2022; 07:20:22

@RUN EXCODE        TN RN CR   IDAPS   IDAPM   ADAPS   ADAPM   PD1TS   PD1TM   PDFTS   PDFTM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   EDAPS   EDAPM
  61 TERRAR01SG    61  1 SG     124     -99     154     -99     -99     -99     -99     -99     203     -99     648     -99     -99     -99    4348     -99  0.0149     -99   434.8     -99    1966     -99    1318     -99    1.02     -99   0.329     -99     -99     -99      11     -99      15     -99       5     -99     1.6     -99    1257     -99      10     -99   21.70     -99     102     -99
  62 TERRAR01SG    62  1 SG     124     -99     154     -99     -99     -99     -99     -99     203     -99     648     -99     -99     -99    4348     -99  0.0149     -99   434.8     -99    1966     -99    1318     -99    1.02     -99   0.329     -99     -99     -99      11     -99      15     -99       5     -99     1.6     -99    1257     -99      10     -99   21.70     -99     102     -99
  63 TERRAR01SG    63  1 SG     124     -99     154     -99     -99     -99     -99     -99     203     -99     648     -99     -99     -99    4348     -99  0.0149     -99   434.8     -99    1966     -99    1318     -99    1.02     -99   0.329     -99     -99     -99      11     -99      15     -99       5     -99     1.6     -99    1257     -99      10     -99   21.70     -99     102     -99
  64 TERRAR01SG    64  1 SG     124     -99     154     -99     -99     -99     -99     -99     203     -99     648     -99     -99     -99    4348     -99  0.0149     -99   434.8     -99    1966     -99    1318     -99    1.02     -99   0.329     -99     -99     -99      11     -99      15     -99       5     -99     1.6     -99    1257     -99      10     -99   21.70     -99     102     -99
  65 TERRAR01SG    65  1 SG     124     -99     154     -99     -99     -99     -99     -99     203     -99     648     -99     -99     -99    4348     -99  0.0149     -99   434.8     -99    1966     -99    1318     -99    1.02     -99   0.329     -99     -99     -99      11     -99      15     -99       5     -99     1.6     -99    1257     -99      10     -99   21.70     -99     102     -99
  66 TERRAR01SG    66  1 SG     124     -99     154     -99     -99     -99     -99     -99     203     -99     648     -99     -99     -99    4348     -99  0.0149     -99   434.8     -99    1966     -99    1318     -99    1.02     -99   0.329     -99     -99     -99      11     -99      15     -99       5     -99     1.6     -99    1257     -99      10     -99   21.70     -99     102     -99
  67 TERRAR01SG    67  1 SG     124     -99     154     -99     -99     -99     -99     -99     203     -99     648     -99     -99     -99    4348     -99  0.0149     -99   434.8     -99    1966     -99    1318     -99    1.02     -99   0.329     -99     -99     -99      11     -99      15     -99       5     -99     1.6     -99    1257     -99      10     -99   21.70     -99     102     -99
  68 TERRAR01SG    68  1 SG     124     -99     154     -99     -99     -99     -99     -99     203     -99     648     -99     -99     -99    4348     -99  0.0149     -99   434.8     -99    1966     -99    1318     -99    1.02     -99   0.329     -99     -99     -99      11     -99      15     -99       5     -99     1.6     -99    1257     -99      10     -99   21.70     -99     102     -99
  69 TERRAR01SG    69  1 SG     124     -99     154     -99     -99     -99     -99     -99     203     -99     648     -99     -99     -99    4348     -99  0.0149     -99   434.8     -99    1966     -99    1318     -99    1.02     -99   0.329     -99     -99     -99      11     -99      15     -99       5     -99     1.6     -99    1257     -99      10     -99   21.70     -99     102     -99
  70 TERRAR01SG    70  1 SG     124     -99     154     -99     -99     -99     -99     -99     203     -99     648     -99     -99     -99    4348     -99  0.0149     -99   434.8     -99    1966     -99    1318     -99    1.02     -99   0.329     -99     -99     -99      11     -99      15     -99       5     -99     1.6     -99    1257     -99      10     -99   21.70     -99     102     -99
